epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.2334,3.47121,0.3281,0.66091,3.0165,8.27957e-05,8.27957e-05,8.27957e-05
2,81.3326,2.63522,0.64521,0.91366,1.69229,0.00016284,0.00016284,0.00016284
3,114.908,1.63071,0.74097,0.95761,0.95142,0.000239584,0.000239584,0.000239584
4,147.774,1.10225,0.78336,0.96703,0.72974,0.00023515,0.00023515,0.00023515
5,180.827,0.87882,0.81633,0.97959,0.65071,0.0002302,0.0002302,0.0002302
6,212.371,0.78831,0.81476,0.97645,0.59882,0.00022525,0.00022525,0.00022525
7,244.113,0.69488,0.83046,0.97959,0.56559,0.0002203,0.0002203,0.0002203
8,277.898,0.62995,0.84144,0.97802,0.53597,0.00021535,0.00021535,0.00021535
9,310.73,0.58786,0.82575,0.97645,0.53142,0.0002104,0.0002104,0.0002104
10,343.811,0.543,0.82732,0.97645,0.51006,0.00020545,0.00020545,0.00020545
11,377.367,0.47846,0.83203,0.98273,0.52479,0.0002005,0.0002005,0.0002005
12,408.777,0.45296,0.83046,0.9843,0.50435,0.00019555,0.00019555,0.00019555
13,441.119,0.44402,0.82575,0.97959,0.51943,0.0001906,0.0001906,0.0001906
14,472.898,0.42191,0.83359,0.98273,0.51696,0.00018565,0.00018565,0.00018565
15,506.494,0.41402,0.8383,0.97959,0.49729,0.0001807,0.0001807,0.0001807
16,538.804,0.39876,0.81476,0.97645,0.52957,0.00017575,0.00017575,0.00017575
17,571.145,0.35436,0.83359,0.98273,0.49808,0.0001708,0.0001708,0.0001708
18,604.217,0.3561,0.83359,0.97959,0.51908,0.00016585,0.00016585,0.00016585
19,636.633,0.3241,0.83516,0.98273,0.53148,0.0001609,0.0001609,0.0001609
20,669.358,0.35344,0.83673,0.97645,0.52705,0.00015595,0.00015595,0.00015595
21,704.392,0.32165,0.83987,0.98273,0.52505,0.000151,0.000151,0.000151
22,737.227,0.29226,0.83987,0.98116,0.52916,0.00014605,0.00014605,0.00014605
23,769.291,0.30182,0.83987,0.97802,0.53394,0.0001411,0.0001411,0.0001411
24,803.542,0.29618,0.82418,0.97959,0.53708,0.00013615,0.00013615,0.00013615
25,836.508,0.28207,0.83359,0.97959,0.53913,0.0001312,0.0001312,0.0001312
26,867.261,0.26872,0.83359,0.98273,0.52807,0.00012625,0.00012625,0.00012625
27,900.558,0.28159,0.8383,0.98116,0.525,0.0001213,0.0001213,0.0001213
28,932.185,0.25458,0.84458,0.98116,0.52845,0.00011635,0.00011635,0.00011635
29,964.547,0.26828,0.83203,0.97959,0.53931,0.0001114,0.0001114,0.0001114
30,996.608,0.25671,0.84301,0.97802,0.5415,0.00010645,0.00010645,0.00010645
31,1028.51,0.22891,0.84458,0.97959,0.53689,0.0001015,0.0001015,0.0001015
32,1061.04,0.24639,0.83516,0.98273,0.53966,9.655e-05,9.655e-05,9.655e-05
33,1092.05,0.23233,0.84144,0.97959,0.54861,9.16e-05,9.16e-05,9.16e-05
34,1123.67,0.23436,0.85086,0.98273,0.52719,8.665e-05,8.665e-05,8.665e-05
35,1156.2,0.22943,0.84144,0.98116,0.54247,8.17e-05,8.17e-05,8.17e-05
36,1188.2,0.21968,0.83046,0.98116,0.54266,7.675e-05,7.675e-05,7.675e-05
37,1221.33,0.22655,0.8383,0.98116,0.55222,7.18e-05,7.18e-05,7.18e-05
38,1254.83,0.2275,0.84615,0.98116,0.53764,6.685e-05,6.685e-05,6.685e-05
39,1288.13,0.20273,0.84301,0.98273,0.54664,6.19e-05,6.19e-05,6.19e-05
40,1320.43,0.21286,0.83673,0.98273,0.56243,5.695e-05,5.695e-05,5.695e-05
41,1357.04,0.20137,0.83673,0.98273,0.54252,5.2e-05,5.2e-05,5.2e-05
42,1387.81,0.21362,0.84144,0.98273,0.54382,4.705e-05,4.705e-05,4.705e-05
43,1421.72,0.19337,0.8383,0.98273,0.54588,4.21e-05,4.21e-05,4.21e-05
44,1453.53,0.19371,0.84301,0.97959,0.54781,3.715e-05,3.715e-05,3.715e-05
45,1485.81,0.19661,0.84301,0.98116,0.55761,3.22e-05,3.22e-05,3.22e-05
46,1521.05,0.18448,0.83987,0.98116,0.5564,2.725e-05,2.725e-05,2.725e-05
47,1554.28,0.18327,0.83987,0.98116,0.54893,2.23e-05,2.23e-05,2.23e-05
48,1586.04,0.17982,0.84458,0.97959,0.56041,1.735e-05,1.735e-05,1.735e-05
49,1619.88,0.17812,0.84929,0.98116,0.55105,1.24e-05,1.24e-05,1.24e-05
50,1652.84,0.18986,0.84772,0.98116,0.55399,7.45e-06,7.45e-06,7.45e-06
